index,kid,fruit
0,"296, 296","295, 299"
1,"296, 298","296, 294"
2,"297, 296","296, 296"
3,"297, 299","296, 299"
4,"298, 292","297, 296"
5,"298, 294","297, 298"
6,"298, 297","298, 299"
7,"298, 298","299, 296"
8,"298, 299","299, 297"
9,"299, 294","299, 298"
10,"299, 297","299, 299"
11,"299, 298","300, 295"
12,"299, 299","300, 297"
13,"300, 294","300, 298"
14,"300, 299","300, 299"
15,"301, 296","301, 294"
16,"301, 297","301, 297"
17,"301, 299","302, 295"
18,"302, 296","302, 297"
19,"302, 298","302, 299"
20,"302, 299","303, 297"
21,"304, 298","303, 298"
22,"316, 297","303, 299"
23,"316, 298","304, 299"
24,"317, 298","306, 299"
